EDGE	CONSISTENCY
12702~20851	0.4
12702~20850	0.3
12702~16452	0.3
20848~12703	0.3
20849~12702	0.3
20852~12702	0.3
20848~56468	0.2
20847~12703	0.2
20847~56468	0.2
59004~20848	0.2
59004~20847	0.2
56469~20848	0.2
56469~20847	0.2
20846~12703	0.1
20846~56468	0.1
20849~12703	0.1
20849~56468	0.1
20852~12703	0.1
12703~16452	0.1
59004~20846	0.1
56469~20846	0.1
16452~20851	0.1
11596~16452	0.1
56468~16452	0
59004~20849	0
20851~56468	-0.1
20850~12703	-0.1
59004~20851	-0.1
56469~20851	-0.1
16452~20847	-0.1
16452~20846	-0.1
16169~16452	-0.1
14600~16452	-0.1
20851~12703	-0.2
16452~20848	-0.2
12702~20847	-0.4
12702~20846	-0.4
12702~20848	-0.5
