EDGE	CONSISTENCY
11600~21687	0.7
18590~21687	0.6
18591~14254	0.6
21687~20416	0.5
21687~12929	0.5
54635~21687	0.5
107607~16175	0.5
22340~14254	0.5
22339~14254	0.5
107607~16176	0.3
16193~18596	0.3
16193~13649	0.3
20779~16476	0.3
20779~20416	0.3
20779~15461	0.3
16542~20779	0.3
14678~20779	0.3
109905~20779	0.3
11600~16542	0.2
11600~16590	0.2
11600~12978	0.2
20297~12768	0.2
11600~18596	-0.2
11600~13649	-0.2
215449~101540	-0.2
26417~16193	-0.3
16476~16193	-0.3
16476~16176	-0.3
66824~16176	-0.3
19229~20779	-0.3
20779~13649	-0.3
215449~20779	-0.3
16416~20779	-0.3
18596~20779	-0.3
26417~16176	-0.4
26417~16175	-0.5
14254~20416	-0.5
14254~12929	-0.5
54635~14254	-0.5
16476~16175	-0.5
22340~21687	-0.5
22339~21687	-0.5
16193~13857	-0.5
18590~14254	-0.6
18591~21687	-0.6
11600~14254	-0.7
