EDGE	CONSISTENCY
15258~22059	0.3
218294~56371	0.2
26416~18019	0.2
56458~13197	0.1
56458~12443	0.1
26417~26416	0.1
26417~12443	0.1
26417~18019	0.1
26413~26416	0.1
26413~12443	0.1
26413~18019	0.1
22601~170770	0.1
22601~12443	0.1
26416~56458	0.1
26416~12028	0.1
71890~56371	0.1
12371~235587	0.1
12028~12371	0.1
57257~18019	0.1
27354~11920	0.1
13197~18538	0.1
211651~12190	0.1
211651~330554	0.1
252870~56458	0.1
11651~12371	0.1
26417~56458	-0.1
26413~56458	-0.1
26416~17164	-0.1
12371~11545	-0.1
12371~11546	-0.1
12371~12367	-0.1
237911~17350	-0.1
237911~18861	-0.1
18538~12443	-0.1
11920~50883	-0.1
12043~12371	-0.1
170770~12043	-0.1
170770~22059	-0.1
22059~13197	-0.1
22059~382985	-0.1
22034~26416	-0.1
50883~22059	-0.1
17869~12443	-0.3
56458~12795	-0.3
26417~17869	-0.3
26413~17869	-0.3
22601~17869	-0.3
