EDGE	CONSISTENCY
17874~16193	0.5
16193~20848	0.5
16193~16190	0.4
20848~19225	0.4
16193~13649	0.3
20847~17874	0.3
20846~17874	0.3
20848~15251	0.2
20848~12445	0.2
12576~12571	0.2
56469~20848	0.2
56469~20847	0.2
15251~18787	0.2
13649~19225	0.2
22059~18787	0.2
16190~20852	0.2
20847~12445	0.1
20851~16000	0.1
56469~20846	0.1
15251~21803	0.1
16000~13867	0.1
13867~15251	0.1
13867~20416	0.1
16480~19015	0.1
56458~12576	0.1
11350~20851	0.1
20846~15945	-0.1
17128~104394	-0.1
20851~12445	-0.1
56469~20851	-0.1
22059~26570	-0.1
22059~12122	-0.1
13867~12387	-0.1
21803~21813	-0.1
112407~15251	-0.1
14083~19229	-0.1
16450~18128	-0.1
17874~21926	-0.2
20848~16000	-0.2
20848~56458	-0.2
20848~16600	-0.2
20847~15945	-0.2
17128~18787	-0.2
20851~16190	-0.2
22601~18787	-0.2
104394~14235	-0.2
20850~16190	-0.2
