EDGE	CONSISTENCY
22341~14254	0.6
15251~14254	0.5
11863~14254	0.5
328572~21687	0.5
22340~14254	0.5
22339~14254	0.5
11931~20541	0.2
15251~22341	0.1
15251~21808	0.1
22339~16542	0.1
18751~12494	0.1
18751~18806	0.1
11596~18751	0.1
16438~12325	0.1
74747~22084	0.1
12362~16173	0.1
17127~17128	0.1
22346~15251	0.1
15251~22340	0
15251~22339	0
11863~22339	0
11863~15368	0
328572~22339	0
328572~15368	0
18751~112406	0
16439~108058	0
16439~12325	0
108058~328572	0
12325~328572	0
15251~74747	-0.1
15251~15368	-0.1
22340~16542	-0.1
18751~112405	-0.1
18751~110157	-0.1
112405~15251	-0.1
110157~18806	-0.1
16438~108058	-0.1
18479~110157	-0.1
21808~17127	-0.1
112406~15251	-0.1
22341~16542	-0.2
15251~21687	-0.5
11863~21687	-0.5
328572~14254	-0.5
22340~21687	-0.5
22339~21687	-0.5
22341~21687	-0.6
