EDGE	CONSISTENCY
22317~13852	0.2
22318~13852	0.2
22319~13852	0.2
53330~13852	0.2
22317~20908	0.1
22317~20909	0.1
22317~20619	0.1
22318~20908	0.1
22318~20909	0.1
22318~20619	0.1
22319~20908	0.1
22319~20909	0.1
22319~20619	0.1
53330~20908	0.1
53330~20909	0.1
53330~228960	0.1
50907~20224	0.1
20333~71116	0.1
12068~20333	0.1
12068~56494	0.1
53330~20619	0
53330~53611	0
53330~53612	0
12068~56389	0
56418~53331	0
56418~53611	0
56418~53612	0
56418~55943	0
53330~58244	-0.1
50907~66397	-0.1
20333~67023	-0.1
20333~224630	-0.1
