EDGE	CONSISTENCY
23797~224129	0.6
216233~54721	0.5
216233~16452	0.5
18753~224129	0.5
18750~224129	0.5
18751~224129	0.5
56637~216233	0.5
18753~20779	0.3
56637~12702	0.3
19094~23797	0.3
19094~17164	0.3
20779~20416	0.3
20779~110596	0.3
12702~54721	0.3
12702~16452	0.3
26420~20779	0.3
19252~19094	0.3
14674~20779	0.3
26419~20779	0.3
12326~11512	-0.3
18753~19094	-0.3
26417~19094	-0.3
26417~12702	-0.3
26413~19094	-0.3
26413~12702	-0.3
18750~19094	-0.3
18751~19094	-0.3
19094~26420	-0.3
19094~26419	-0.3
19094~102626	-0.3
20779~110157	-0.3
20779~16428	-0.3
12702~16451	-0.3
18754~19094	-0.3
18596~20779	-0.3
19094~18018	-0.4
20779~54126	-0.4
12702~16453	-0.4
26417~216233	-0.5
26413~216233	-0.5
11652~224129	-0.5
11651~224129	-0.5
12326~224129	-0.6
216233~16453	-0.6
216233~16451	-0.6
