EDGE	CONSISTENCY
21687~20416	0.5
21687~12929	0.5
328572~21687	0.5
26413~14609	0.3
14388~19247	0.2
19058~18018	0.2
328572~12576	0.1
26413~20112	0.1
26413~18018	0.1
26413~17260	0.1
26413~17395	0.1
14388~12929	0.1
21803~17126	0.1
19056~18018	0.1
16401~12929	0.1
16401~22329	0.1
26395~26413	0.1
11920~22059	0.1
12370~11920	0.1
26413~22340	0
26413~17126	0
22059~22084	0
21808~17126	0
12370~12369	0
18128~19664	0
14682~13543	0
26396~26413	0
21813~17126	0
26413~22059	-0.1
26413~22084	-0.1
19058~18021	-0.1
15184~17260	-0.1
21803~21813	-0.1
21803~21812	-0.1
11481~17126	-0.1
19247~26413	-0.1
20181~11364	-0.1
22059~12576	-0.1
21808~21813	-0.1
21808~21812	-0.1
13543~18128	-0.1
19090~22059	-0.1
20112~22084	-0.1
12166~26413	-0.1
11477~26413	-0.1
68652~26413	-0.1
68652~26395	-0.1
22340~21687	-0.5
18591~21687	-0.6
