EDGE	CONSISTENCY
19094~16175	0.8
19094~16176	0.6
19094~16193	0.5
17874~16193	0.5
17874~16176	0.5
23871~13653	0.5
16193~20848	0.5
20848~17869	0.4
17869~12571	0.4
13867~20779	0.4
19094~208647	0.3
13867~17869	0.3
229615~20848	0.3
16653~19094	0.3
16400~20779	0.3
19094~26420	-0.3
19094~18019	-0.3
19094~12578	-0.3
26417~16193	-0.3
26413~16193	-0.3
26413~16176	-0.3
26419~16176	-0.3
18033~16176	-0.3
16193~16197	-0.3
16193~15979	-0.3
16193~17480	-0.3
20779~74769	-0.3
20779~16653	-0.3
20779~18708	-0.3
19698~16176	-0.3
19094~18018	-0.4
26420~16193	-0.4
26420~16176	-0.4
26416~16193	-0.4
26416~16176	-0.4
26417~16176	-0.4
20779~20848	-0.4
26417~16175	-0.5
26417~13653	-0.5
26413~16175	-0.5
26413~13653	-0.5
26419~16175	-0.5
26419~13653	-0.5
16175~18033	-0.5
26420~16175	-0.6
26420~13653	-0.6
26416~16175	-0.6
