EDGE	CONSISTENCY
20416~20779	0.3
20779~16476	0.3
18128~84653	0.2
13555~14235	0.2
12394~13016	0.1
21833~18128	0.1
21833~12387	0.1
18627~12753	0.1
19697~16189	0.1
12234~18627	0.1
16476~16189	0.1
16476~19015	0.1
17283~12578	0.1
17283~12576	0.1
433759~16362	0.1
18033~16189	0.1
93759~19016	0.1
21803~17126	0.1
20238~19664	0.1
12394~15182	-0.1
19664~16189	-0.1
15182~16362	-0.1
19645~13555	-0.1
103583~18627	-0.1
11865~18627	-0.1
11865~12952	-0.1
11865~20893	-0.1
12606~18627	-0.1
19016~22259	-0.1
19016~11770	-0.1
22411~14362	-0.1
12753~12952	-0.1
12753~20893	-0.1
16476~21803	-0.1
11622~12576	-0.1
22059~12578	-0.1
17128~15901	-0.1
12578~17246	-0.1
12394~13017	-0.2
13017~19664	-0.2
13017~21416	-0.2
19664~84653	-0.2
20779~12387	-0.3
20779~232906	-0.3
319757~20779	-0.3
