EDGE	CONSISTENCY
17874~16176	0.5
20846~17874	0.3
26416~26417	0.1
26416~26413	0.1
26416~11651	0.1
26416~21926	0.1
26417~21926	0.1
21898~26417	0.1
21898~26413	0.1
12042~26416	0.1
12042~26417	0.1
12042~26413	0.1
18754~26416	0.1
18754~26417	0.1
18754~26413	0.1
12475~21898	0.1
240354~26416	0.1
240354~26417	0.1
26413~21926	0
21898~21926	0
240354~26413	0
192656~26413	0
11651~26417	0
11651~26413	0
11651~18035	0
54131~21926	0
26416~16173	-0.1
26417~20846	-0.1
26417~16173	-0.1
26413~20846	-0.1
26413~16173	-0.1
21898~106759	-0.1
106759~54131	-0.1
106759~16179	-0.1
192656~26416	-0.1
192656~26417	-0.1
17874~16179	-0.2
17874~21926	-0.2
21898~17874	-0.2
26413~16176	-0.3
26416~16176	-0.4
26417~16176	-0.4
