EDGE	CONSISTENCY
14683~224129	0.6
14683~11512	0.2
11541~14680	0.2
21390~14682	0.2
21390~14674	0.2
11540~14683	0.2
19217~14683	0.2
14678~11515	0.1
14678~11513	0.1
14680~11515	0.1
11540~14682	0.1
19217~14678	0.1
56089~14683	0.1
19222~14683	0.1
51801~14683	0.1
11555~14683	0.1
11555~14678	0.1
54598~14683	0.1
13611~14678	0.1
19219~14683	0.1
14678~104111	0
14680~11513	0
14680~104111	0
13611~14674	0
19219~14678	0
14683~11515	-0.1
14683~11513	-0.1
14683~104111	-0.1
11540~14680	-0.1
12310~56089	-0.1
12310~51801	-0.1
12310~54598	-0.1
11555~14680	-0.1
14678~11512	-0.2
11541~14683	-0.2
11541~14682	-0.2
19218~14683	-0.3
19218~14678	-0.3
19218~14682	-0.3
14678~224129	-0.5
14680~224129	-0.5
