EDGE	CONSISTENCY
16193~15976	0.3
20847~19106	0.2
20847~246730	0.2
20847~23962	0.2
20847~23960	0.2
217069~230073	0.2
20846~16362	0.2
20847~246727	0.1
20847~27103	0.1
20847~246728	0.1
20846~19106	0.1
20846~246730	0.1
20846~23962	0.1
20846~23960	0.1
20846~246727	0.1
20846~27103	0.1
20846~246728	0.1
80861~71586	0.1
106759~12675	0.1
106759~56480	0.1
15976~20847	0.1
54131~21939	0.1
228607~216799	0.1
21939~53859	0.1
81897~106759	0.1
19106~12675	0.1
20847~12043	-0.1
20846~23961	-0.1
20846~15945	-0.1
20846~12043	-0.1
15975~20846	-0.1
80861~230073	-0.1
142980~106759	-0.1
106759~54131	-0.1
225471~106759	-0.1
54131~80287	-0.1
228607~12675	-0.1
15979~20846	-0.1
15980~20846	-0.1
20847~23961	-0.2
20847~15945	-0.2
230073~228607	-0.2
71586~228607	-0.2
15975~20847	-0.2
16193~15975	-0.3
16193~15979	-0.3
16193~15980	-0.3
16193~242700	-0.3
16193~16155	-0.3
27056~16193	-0.3
