EDGE	CONSISTENCY
20848~18715	0.7
13653~20750	0.6
13712~13653	0.6
20848~18712	0.5
23871~13653	0.5
16193~20848	0.5
20848~17869	0.4
20848~12842	0.4
20848~16362	0.3
26420~20779	0.3
16193~13649	0.3
20779~20416	0.3
20779~26405	0.3
20846~18712	0.3
20846~17869	0.3
20846~12842	0.3
18033~16193	0.3
20848~56484	-0.3
20848~18018	-0.3
20848~54601	-0.3
20848~19883	-0.3
26413~16193	-0.3
26413~16176	-0.3
16193~15975	-0.3
20779~19014	-0.3
56484~17684	-0.3
14281~16193	-0.3
14281~16176	-0.3
19697~16193	-0.3
19697~16176	-0.3
16476~16193	-0.3
16476~16176	-0.3
18033~16176	-0.3
17869~12578	-0.3
17977~17869	-0.3
18018~14062	-0.3
22259~17869	-0.3
319757~20779	-0.3
26420~16193	-0.4
26420~16176	-0.4
20779~20848	-0.4
12051~16193	-0.4
18712~18018	-0.4
23872~13653	-0.5
26413~13653	-0.5
20807~13653	-0.5
20375~13653	-0.5
26420~13653	-0.6
