EDGE	CONSISTENCY
12580~12444	0.4
12578~12444	0.3
12530~12444	0.3
12444~19645	0.3
12576~12444	0.3
12580~12567	0.2
12578~12567	0.1
12530~12567	0.1
12576~12567	0.1
12581~12443	0.1
12575~12443	0.1
19645~13559	0.1
19055~18018	0.1
12567~19645	0.1
27401~19645	0.1
12575~12448	0
27401~12566	0
12530~12443	-0.1
12530~12448	-0.1
12530~12566	-0.1
12530~12447	-0.1
12576~12443	-0.1
12576~12448	-0.1
12576~12566	-0.1
12576~12447	-0.1
12443~19645	-0.1
12443~12567	-0.1
18018~12567	-0.1
13685~13684	-0.1
12448~19645	-0.1
12566~19645	-0.1
16323~11479	-0.1
27401~12576	-0.1
27401~12448	-0.1
12447~19645	-0.1
72508~20104	-0.1
12580~12443	-0.2
12578~12443	-0.2
12581~12444	-0.3
12575~12444	-0.3
