EDGE	CONSISTENCY
3725~7422	1
3725~5228	1
3725~2277	1
3725~7424	0.9
2475~3091	0.8
7422~7010	0.8
3725~2247	0.7
10000~2475	0.7
5228~7010	0.7
2277~7010	0.7
4893~3091	0.7
2475~5578	0.6
207~2475	0.6
5578~5587	0.6
7424~7010	0.6
3690~4893	0.6
5578~4893	0.5
2247~7010	0.5
654~659	0.5
3091~7423	0.4
10000~57521	0.4
4763~4893	0.4
207~57521	0.3
659~1535	0.3
652~659	0.1
5578~25865	-0.3
405~7010	-0.3
7423~7010	-0.3
650~659	-0.3
7060~3690	-0.4
3725~7423	-0.5
405~7422	-0.5
3091~2247	-0.6
3091~7424	-0.7
3091~7010	-0.7
207~3725	-0.7
207~7422	-0.7
207~3164	-0.7
3725~3690	-0.8
10000~3725	-0.8
10000~7422	-0.8
10000~3164	-0.8
3725~2152	-0.9
3091~7422	-0.9
3091~5228	-0.9
3091~2277	-0.9
