EDGE	CONSISTENCY
20848~12444	0.5
20848~16477	0.3
12444~19651	0.3
12444~19645	0.3
12444~19650	0.3
20848~12575	0.2
20848~12445	0.2
211586~12448	0.2
211586~12447	0.2
19651~104394	0.2
22059~23882	0.1
19651~13559	0.1
19651~13557	0.1
19645~104394	0.1
19645~13559	0.1
12234~18627	0.1
13555~12448	0.1
12567~19651	0.1
12567~19645	0.1
19650~104394	0.1
22059~12452	-0.1
22059~13197	-0.1
19651~13555	-0.1
19651~242705	-0.1
19645~13555	-0.1
19645~242705	-0.1
12443~19651	-0.1
12443~19645	-0.1
12443~12567	-0.1
12443~19650	-0.1
11865~18627	-0.1
12448~19651	-0.1
12448~19645	-0.1
20848~12043	-0.2
22059~55948	-0.2
20848~12443	-0.3
16476~12444	-0.3
12575~12444	-0.3
