EDGE	CONSISTENCY
108079~15357	0.4
108099~15357	0.3
108097~15357	0.3
19015~78070	0.3
19082~15357	0.3
20787~14104	0.3
108079~20787	0.2
108079~107476	0.2
108079~56690	0.2
108099~107476	0.2
108099~56690	0.2
108097~107476	0.2
19082~107476	0.2
105787~15357	0.2
68465~108079	0.2
72674~108079	0.2
234779~18783	0.2
108099~20787	0.1
108097~20787	0.1
108097~56690	0.1
19015~16956	0.1
19015~80911	0.1
19015~11363	0.1
19015~12894	0.1
19015~11430	0.1
19082~20787	0.1
19082~56690	0.1
20787~107476	0.1
20787~20249	0.1
105787~107476	0.1
105787~56690	0.1
68465~108099	0.1
68465~108097	0.1
68465~19082	0.1
68465~105787	0.1
72674~108099	0.1
72674~108097	0.1
72674~19082	0.1
72674~105787	0.1
100102~16835	0.1
57875~16956	0.1
108099~16890	-0.1
108097~16890	-0.1
19015~57875	-0.1
19082~16890	-0.1
20787~20250	-0.1
105787~16890	-0.1
22259~20787	-0.1
108079~16890	-0.2
18803~18783	-0.2
