EDGE	CONSISTENCY
22341~14254	0.6
11601~14254	0.5
15251~14254	0.5
15234~21687	0.5
22340~14254	0.5
22339~14254	0.5
20848~22341	0.3
15251~18787	0.2
15251~15277	0.2
20848~15251	0.2
20848~22340	0.2
20848~22339	0.2
16542~14388	0.2
21825~16416	0.2
21825~16412	0.2
21825~17395	0.2
15251~22341	0.1
15234~16542	0.1
22339~16542	0.1
16542~18803	0.1
20312~13051	0.1
20312~12765	0.1
18750~101540	0.1
101540~16414	0.1
23871~22341	0.1
18751~101540	0.1
20130~18607	0.1
12394~16480	0.1
104709~23797	0.1
18607~23797	0.1
18803~18750	0.1
16412~19229	0.1
11601~16542	-0.1
22340~16542	-0.1
16542~16416	-0.1
18750~19229	-0.1
18750~20698	-0.1
101540~16412	-0.1
18751~19229	-0.1
20130~15251	-0.1
16414~19229	-0.1
23797~22339	-0.1
16416~18803	-0.1
22341~16542	-0.2
11601~21687	-0.5
15251~21687	-0.5
15234~14254	-0.5
22340~21687	-0.5
22339~21687	-0.5
22341~21687	-0.6
