EDGE	CONSISTENCY
16175~16180	0.6
17874~16193	0.5
17874~16176	0.5
16193~20848	0.5
20848~19225	0.4
16176~16180	0.4
16193~57914	0.3
16180~17874	0.3
16180~26397	0.2
19016~108078	0.2
81897~17874	0.2
20297~12775	0.2
20297~12774	0.2
20297~12772	0.2
20297~12768	0.2
76527~12978	0.2
106759~26397	0.2
20311~12775	0.2
20312~12775	0.1
330122~12775	0.1
19697~19225	-0.2
17874~19697	-0.2
17874~21926	-0.2
21825~20969	-0.2
21825~16410	-0.2
170743~17874	-0.2
16415~19225	-0.2
16590~20848	-0.2
12326~15184	-0.2
24088~17874	-0.2
21898~17874	-0.2
21897~17874	-0.2
19697~16193	-0.3
19697~16176	-0.3
17874~330122	-0.3
17874~14825	-0.3
17874~20310	-0.3
26419~16193	-0.3
26419~16176	-0.3
66824~16176	-0.3
19698~16193	-0.3
19698~16176	-0.3
21825~16420	-0.3
14062~30955	-0.3
21899~17874	-0.3
268973~16176	-0.4
216799~16176	-0.4
16175~19697	-0.5
26419~16175	-0.5
