EDGE	CONSISTENCY
8503~477	1
4306~477	1
5295~481	0.9
3667~5295	0.9
3667~5293	0.9
5293~481	0.9
6446~23327	0.9
3643~5295	0.9
5295~476	0.8
3667~5290	0.8
3667~5291	0.8
5293~476	0.8
3643~3667	0.8
3643~5293	0.8
3643~5290	0.8
5290~481	0.8
5595~477	0.8
3643~5291	0.7
5290~476	0.7
5291~481	0.7
5291~476	0.7
5595~3479	0.7
5295~483	0.6
5293~483	0.6
8503~3845	0.5
8503~5170	0.5
5290~483	0.5
5295~3845	-0.5
5295~5170	-0.5
5595~5578	-0.5
5594~477	-0.5
8503~483	-0.6
4306~483	-0.6
5595~481	-0.7
5595~476	-0.7
8503~476	-0.8
4306~476	-0.8
5291~477	-0.8
3479~3643	-0.8
8503~481	-0.9
4306~6446	-0.9
4306~481	-0.9
3667~8503	-0.9
5293~477	-0.9
3643~8503	-0.9
5290~477	-0.9
5295~477	-1
