EDGE	CONSISTENCY
1277~3673	1
1277~22801	1
1282~8515	1
1282~8516	1
1286~8515	1
1286~8516	1
3673~8503	1
3908~8515	1
3908~8516	1
7057~8515	1
7057~8516	1
8503~2308	1
9586~1026	1
9586~7422	1
90993~1026	1
90993~7422	1
3909~8515	1
3909~8516	1
1026~890	1
1026~896	1
3918~8515	1
3918~8516	1
1287~3673	1
1287~22801	1
1284~8515	1
1284~8516	1
1277~8515	-1
1277~8516	-1
1282~3673	-1
1282~22801	-1
1286~3673	-1
1286~22801	-1
2308~1026	-1
3673~5295	-1
3908~3673	-1
3908~22801	-1
5295~2308	-1
7057~3673	-1
7057~22801	-1
7472~7855	-1
7472~8325	-1
7472~8323	-1
3909~3673	-1
3909~22801	-1
3918~3673	-1
3918~22801	-1
1287~8515	-1
1287~8516	-1
1284~3673	-1
1284~22801	-1
