EDGE	CONSISTENCY
7414~60	0.9
7414~71	0.9
10627~60	0.9
10627~71	0.9
9475~10627	0.9
2770~5295	0.9
3676~2185	0.9
5781~8503	0.9
9475~103910	0.8
9475~10398	0.8
2770~5293	0.8
2770~5290	0.8
6093~10627	0.8
5908~5295	0.8
5908~5293	0.8
103910~60	0.8
103910~71	0.8
7408~60	0.8
7408~71	0.8
5295~5879	0.8
5879~5293	0.8
5879~60	0.8
3688~5295	0.8
3688~2185	0.8
3688~5293	0.8
10398~60	0.8
10398~71	0.8
2185~5879	0.8
2770~10411	-0.8
5781~5293	-0.8
5781~5290	-0.8
11069~5908	-0.8
11069~5603	-0.8
11069~1432	-0.8
5908~8503	-0.8
5879~8503	-0.8
3688~8503	-0.8
3688~7412	-0.8
2185~5829	-0.8
7412~1535	-0.8
5829~60	-0.8
10411~5600	-0.8
2770~11069	-0.9
2770~8503	-0.9
3676~7412	-0.9
5781~5295	-0.9
11069~5600	-0.9
