EDGE	CONSISTENCY
5295~5894	0.9
5295~2475	0.9
5894~5293	0.9
5156~5295	0.9
3480~5295	0.9
5293~2475	0.9
7157~1026	0.9
5295~3265	0.8
5295~10000	0.8
5295~4893	0.8
5894~5290	0.8
5894~5604	0.8
8503~208	0.8
5156~5293	0.8
5156~53358	0.8
3480~5293	0.8
3480~53358	0.8
5159~5295	0.8
5290~2475	0.8
10000~1026	0.8
5595~1026	0.8
1956~8503	0.8
207~1026	0.8
5295~208	-0.8
8503~3265	-0.8
8503~10000	-0.8
8503~4893	-0.8
399694~6655	-0.8
5159~8503	-0.8
5159~399694	-0.8
1956~5295	-0.8
208~1026	-0.8
1026~1021	-0.9
5894~8503	-0.9
8503~2475	-0.9
5156~8503	-0.9
5156~399694	-0.9
3480~8503	-0.9
3480~399694	-0.9
1026~1019	-1
