EDGE	CONSISTENCY
18591~14254	0.6
22339~14254	0.5
20779~15461	0.3
18753~20779	0.3
17311~16590	0.1
18590~16590	0.1
18591~18596	0.1
18591~13649	0.1
18591~14182	0.1
54635~16590	0.1
18596~16653	0.1
13649~16653	0.1
30955~15461	0.1
320207~15461	0.1
16590~15461	0.1
14182~16653	0.1
54635~18596	0
54635~13649	0
54635~14182	0
22339~18596	0
22339~13649	0
22339~14182	0
18596~15461	0
13649~15461	0
104709~13649	0
104709~15461	0
14182~15461	0
16179~66513	0
17311~18596	-0.1
17311~13649	-0.1
17311~14182	-0.1
18590~18596	-0.1
18590~13649	-0.1
18590~14182	-0.1
18591~16590	-0.1
22339~16590	-0.1
30955~13649	-0.1
320207~13649	-0.1
320207~16653	-0.1
16590~16653	-0.1
104709~16653	-0.1
30955~16653	-0.2
20779~13649	-0.3
20779~16653	-0.3
18596~20779	-0.3
54635~14254	-0.5
17311~14254	-0.6
18590~14254	-0.6
