EDGE	CONSISTENCY
11600~21687	0.7
16193~13649	0.3
11600~17295	0.2
13649~19225	0.2
109689~109880	0.1
109689~11836	0.1
15519~11652	0.1
15519~11651	0.1
216869~109880	0.1
216869~11836	0.1
18413~13649	0.1
15516~11652	0.1
15516~11651	0.1
22339~13649	0
22339~17295	0
13649~18706	0
18706~11652	0
18706~11651	0
11652~22339	0
11652~110157	0
11652~74370	0
11652~12043	0
11652~606496	0
11651~22339	0
11651~110157	0
11651~74370	0
11651~12043	0
11651~606496	0
17295~18706	0
109689~110157	-0.1
216869~110157	-0.1
18479~110157	-0.1
110157~18706	-0.1
17763~11652	-0.1
17763~11651	-0.1
11600~13649	-0.2
22339~21687	-0.5
