EDGE	CONSISTENCY
8660~5295	1
8660~5293	0.9
3717~8660	0.9
3717~5295	0.9
3717~5293	0.9
4067~5295	0.9
4067~5293	0.9
4067~2185	0.9
22800~5295	0.9
8503~57580	0.9
5156~5295	0.9
3480~8660	0.9
3480~5295	0.9
2246~5156	0.9
2246~3480	0.9
2246~3643	0.9
3643~8660	0.9
3643~5295	0.9
7057~3655	0.9
3918~3655	0.9
3717~6774	0.8
22800~5293	0.8
5295~3265	0.8
2246~5159	0.8
5159~5295	0.8
8503~3265	-0.8
7422~5159	-0.8
3082~5159	-0.8
5293~57580	-0.8
5159~8503	-0.8
3717~8503	-0.9
4067~8503	-0.9
22800~8503	-0.9
5295~57580	-0.9
6774~7422	-0.9
6774~1277	-0.9
6774~29126	-0.9
5156~8503	-0.9
7422~5156	-0.9
7422~3480	-0.9
7422~3643	-0.9
3480~8503	-0.9
3082~5156	-0.9
3082~3480	-0.9
3082~3643	-0.9
3643~8503	-0.9
1277~3655	-0.9
8660~8503	-1
