EDGE	CONSISTENCY
11600~21687	0.7
11601~14254	0.5
12977~21687	0.5
13867~20779	0.4
11600~13867	0.3
16542~20779	0.3
26362~20779	0.3
17295~20779	0.3
11600~16542	0.2
11600~17295	0.2
11600~16590	0.2
11600~16337	0.2
11600~12978	0.2
11601~18596	0.1
11601~16001	0.1
12977~13867	0.1
12977~16542	0.1
12977~16590	0.1
17295~13867	0.1
17096~17060	0.1
22612~14360	0.1
11601~13649	0
11601~14182	0
12977~18596	0
12977~16001	0
12977~17295	0
12977~13649	0
12977~14182	0
12977~16337	0
12977~12978	0
16797~16822	0
11601~16542	-0.1
11601~17295	-0.1
11601~16590	-0.1
11601~16337	-0.1
11601~12978	-0.1
17096~14360	-0.1
14182~327826	-0.1
11600~18596	-0.2
11600~16001	-0.2
11600~13649	-0.2
11600~14182	-0.2
11601~13867	-0.2
18596~20779	-0.3
16001~20779	-0.3
13649~20779	-0.3
11601~21687	-0.5
12977~14254	-0.5
11600~14254	-0.7
