EDGE	CONSISTENCY
1277~22801	1
1277~3673	1
1277~6382	1
1282~8515	1
1282~8516	1
1286~8515	1
1286~8516	1
3908~8515	1
3908~8516	1
7057~8515	1
7057~8516	1
3909~8515	1
3909~8516	1
3918~8515	1
3918~8516	1
1287~22801	1
1287~3673	1
1284~8515	1
1284~8516	1
3371~22801	1
3371~3673	1
131873~22801	1
131873~3673	1
3915~22801	-0.9
3915~3673	-0.9
1277~8515	-1
1277~8516	-1
1282~22801	-1
1282~3673	-1
1282~6382	-1
1286~22801	-1
1286~3673	-1
1286~6382	-1
3908~22801	-1
3908~3673	-1
7057~22801	-1
7057~3673	-1
7057~6382	-1
3909~22801	-1
3909~3673	-1
3918~22801	-1
3918~3673	-1
1287~8515	-1
1287~8516	-1
1284~22801	-1
1284~3673	-1
3371~8515	-1
3371~8516	-1
131873~8515	-1
131873~8516	-1
