EDGE	CONSISTENCY
22341~14254	0.6
14174~14254	0.6
18591~14254	0.6
15251~14254	0.5
22339~14254	0.5
16193~20848	0.5
16193~16195	0.5
17869~12444	0.5
20848~12444	0.5
16193~16880	0.4
20848~17869	0.4
20848~19225	0.4
16195~20848	0.4
16193~57914	0.3
16193~18596	0.3
16193~13649	0.3
17869~22341	0.3
20848~22341	0.3
20848~12048	0.3
13867~17869	0.3
20846~17869	0.3
20846~12444	0.3
12576~12444	0.3
18413~16195	0.3
16193~16157	-0.3
16193~16197	-0.3
16193~16452	-0.3
17869~12443	-0.3
20851~17869	-0.3
20851~12444	-0.3
19697~16193	-0.3
19697~16176	-0.3
16476~16193	-0.3
16476~12444	-0.3
16476~16176	-0.3
16189~16195	-0.3
16194~20848	-0.3
22601~12444	-0.3
12387~12444	-0.3
16193~16194	-0.4
14254~14083	-0.5
14254~20416	-0.5
14254~12929	-0.5
14256~14254	-0.5
16000~14254	-0.5
54635~14254	-0.5
12977~14254	-0.5
16193~13857	-0.5
17311~14254	-0.6
18590~14254	-0.6
