EDGE	CONSISTENCY
3725~7412	1
3725~7422	1
3725~2277	1
8503~2308	1
3725~3569	0.9
3725~1019	0.9
3725~596	0.9
3725~7424	0.9
5295~836	0.9
5293~836	0.9
23236~5581	0.9
5581~5602	0.9
5602~3725	0.9
5602~3569	0.9
5602~1958	0.9
3717~5295	0.9
3717~5293	0.9
6774~2308	0.9
5600~2308	0.9
5295~3265	0.8
7042~4088	0.8
3717~6774	0.8
3717~6776	0.8
5603~2308	0.8
5581~5603	-0.8
7048~4088	-0.8
5603~3725	-0.8
6777~5292	-0.8
3265~8503	-0.8
3725~2152	-0.9
8503~836	-0.9
5293~2308	-0.9
5581~5600	-0.9
5602~2308	-0.9
3717~8503	-0.9
183~185	-0.9
185~7042	-0.9
185~23236	-0.9
5332~5581	-0.9
6774~7422	-0.9
6774~2277	-0.9
6774~1277	-0.9
6774~5292	-0.9
5290~2308	-0.9
3569~3717	-0.9
5600~3725	-0.9
6776~5292	-0.9
5295~2308	-1
7042~7048	-1
