ENTREZID	SYMBOL	GENENAME	FC	ADJ.PVAL
17874	Myd88	myeloid differentiation primary response gene 88	0.64	0.56
20847	Stat2	signal transducer and activator of transcription 2	0.5	1
66141	Ifitm3	interferon induced transmembrane protein 3	0.35	1
20846	Stat1	signal transducer and activator of transcription 1	0.26	1
213002	Ifitm6	interferon induced transmembrane protein 6	-0.14	1
54131	Irf3	interferon regulatory factor 3	-0.14	1
15975	Ifnar1	interferon (alpha and beta) receptor 1	-0.11	1
16179	Irak1	interleukin-1 receptor-associated kinase 1	-0.1	1
246728	Oas2	2'-5' oligoadenylate synthetase 2	0.08	1
68713	Ifitm1	interferon induced transmembrane protein 1	0.06	1
80876	Ifitm2	interferon induced transmembrane protein 2	-0.01	1
15976	Ifnar2	interferon (alpha and beta) receptor 2	0	1
