EDGE	CONSISTENCY
17874~16193	0.5
17874~16176	0.5
107607~16175	0.5
107607~16176	0.3
81897~17874	0.2
24088~225471	0.1
21898~225471	0.1
81897~106759	0.1
13057~26415	0.1
26415~21926	0
107607~192656	0
24088~21926	0
21898~21926	0
81897~225471	0
332579~26415	0
332579~192656	0
192656~26415	0
12774~21926	0
24088~106759	-0.1
21898~106759	-0.1
142980~106759	-0.1
225471~106759	-0.1
257632~192656	-0.1
17874~21926	-0.2
170743~17874	-0.2
24088~17874	-0.2
21898~17874	-0.2
15510~21898	-0.2
26415~16193	-0.3
26415~16176	-0.3
66824~16176	-0.3
16193~16194	-0.4
26415~16175	-0.5
