EDGE	CONSISTENCY
1277~3673	1
1277~22801	1
1282~8515	1
1282~8516	1
1286~8515	1
1286~8516	1
3673~8503	1
3725~7422	1
3725~5228	1
3725~2277	1
3908~8515	1
3908~8516	1
5295~5881	1
5881~60	1
7057~8515	1
7057~8516	1
3909~8515	1
3909~8516	1
3918~8515	1
3918~8516	1
1287~3673	1
1287~22801	1
1284~8515	1
1284~8516	1
3371~22801	1
1277~8515	-1
1277~8516	-1
1282~3673	-1
1282~22801	-1
1286~3673	-1
1286~22801	-1
3673~5295	-1
3725~896	-1
3908~3673	-1
3908~22801	-1
5063~5881	-1
7057~3673	-1
7057~22801	-1
8503~5881	-1
3909~3673	-1
3909~22801	-1
3918~3673	-1
3918~22801	-1
1287~8515	-1
1287~8516	-1
1284~3673	-1
1284~22801	-1
5500~10627	-1
