EDGE	CONSISTENCY
27373~18628	0.3
104318~18628	0.3
11865~18628	0.3
12753~18628	0.3
18143~18627	0.2
18143~12952	0.2
18143~20893	0.2
27373~18143	0.2
104318~18143	0.2
18143~12953	0.1
18143~217166	0.1
18143~18626	0.1
11865~19883	0.1
12753~19883	0.1
12916~11911	0.1
15182~93759	0.1
104318~11865	0
104318~12753	0
104318~18626	0
11865~12953	0
11865~217166	0
11865~79362	0
11865~18626	0
12753~79362	0
433759~93759	0
19046~11911	0
19045~11911	0
18143~79362	-0.1
27373~11865	-0.1
27373~12753	-0.1
27373~18626	-0.1
104318~18627	-0.1
11865~18627	-0.1
11865~12952	-0.1
11865~20893	-0.1
12753~18627	-0.1
12753~12952	-0.1
12753~20893	-0.1
18143~19883	-0.2
27373~18627	-0.2
18143~18628	-0.4
