EDGE	CONSISTENCY
16193~12984	0.8
16193~12983	0.7
12984~16453	0.6
12984~16451	0.6
12984~16653	0.6
16175~16180	0.6
16193~16195	0.5
16193~20848	0.5
17874~16193	0.5
17874~16176	0.5
16193~16453	0.4
16193~16880	0.4
12983~16453	0.4
12983~16451	0.4
12983~16653	0.4
16195~20848	0.4
16176~16180	0.4
16193~16451	0.3
16193~57914	0.3
16193~15976	0.3
16195~16453	0.3
16195~16451	0.3
20847~17874	0.3
16180~17874	0.3
20846~17874	0.3
16453~20848	0.3
16451~20848	0.3
16193~16452	-0.3
16193~16157	-0.3
16193~242700	-0.3
16193~15979	-0.3
16193~15975	-0.3
16193~15980	-0.3
16193~16155	-0.3
16193~16154	-0.3
16193~16188	-0.3
19697~16193	-0.3
19697~16176	-0.3
27056~16193	-0.3
27056~16176	-0.3
16194~20848	-0.3
12703~20848	-0.3
16193~16194	-0.4
16193~213208	-0.4
12983~16452	-0.4
16193~237313	-0.5
12984~16452	-0.5
16175~19697	-0.5
