EDGE	CONSISTENCY
19094~16176	0.6
19094~12043	0.3
12362~16176	0.3
26420~26416	0.1
26420~26415	0.1
26420~12028	0.1
26420~12015	0.1
26417~26416	0.1
26417~26415	0.1
26417~12443	0.1
26417~15370	0.1
26413~26416	0.1
26413~12443	0.1
26413~15370	0.1
26419~26416	0.1
26416~12028	0.1
26415~12028	0.1
13057~26416	0.1
13057~26415	0.1
23939~12443	0.1
26420~12043	-0.1
26417~12015	-0.1
26416~12043	-0.1
20849~12443	-0.1
26420~19094	-0.3
19094~26417	-0.3
19094~26413	-0.3
19094~26419	-0.3
19094~12028	-0.3
26413~16176	-0.3
26419~16176	-0.3
26415~16176	-0.3
13057~19094	-0.3
26420~16176	-0.4
26417~16176	-0.4
26416~16176	-0.4
26417~13653	-0.5
26413~13653	-0.5
26419~13653	-0.5
26420~13653	-0.6
