EDGE	CONSISTENCY
17874~16176	0.5
17874~16159	0.4
12362~16176	0.3
20846~17874	0.3
17874~68652	0.2
20846~16159	0.2
16159~16162	0.2
21926~17130	0.2
20311~12775	0.2
26416~26417	0.1
26416~102626	0.1
20846~16477	0.1
20846~19106	0.1
110279~20851	0.1
106759~12675	0.1
26416~16477	-0.1
26417~20846	-0.1
26417~16477	-0.1
26413~16477	-0.1
21898~106759	-0.1
21898~117149	-0.1
20851~19106	-0.1
16477~11433	-0.1
59079~257632	-0.1
106759~16179	-0.1
106759~54131	-0.1
117149~16179	-0.1
17874~21926	-0.2
17874~16179	-0.2
26416~16159	-0.2
26417~16159	-0.2
26417~110651	-0.2
26413~16159	-0.2
26413~19225	-0.2
26413~110651	-0.2
16476~16159	-0.2
63953~26417	-0.2
63953~26413	-0.2
21898~17874	-0.2
16159~15975	-0.2
13035~14062	-0.2
20851~16477	-0.2
26417~19225	-0.3
26413~16176	-0.3
16476~16176	-0.3
63953~26416	-0.3
26416~16176	-0.4
26417~16176	-0.4
