EDGE	CONSISTENCY
20848~18715	0.7
11600~21687	0.7
17311~21687	0.6
20848~12702	0.5
20848~18712	0.5
20848~12444	0.5
16000~21687	0.5
21687~20416	0.5
15234~21687	0.5
16193~20848	0.5
20848~19225	0.4
22027~11652	0.4
22027~11651	0.4
108079~15357	0.4
20848~108079	0.3
12702~16452	0.3
16193~18596	0.3
16193~13649	0.3
20779~14083	0.3
20779~17979	0.3
12576~12444	0.3
16542~20779	0.3
17684~12177	0.3
56637~12702	0.3
20851~18712	-0.3
20851~12444	-0.3
16193~17480	-0.3
20779~19229	-0.3
20779~18708	-0.3
20779~19014	-0.3
19697~12702	-0.3
19697~16193	-0.3
26419~16193	-0.3
56458~12444	-0.3
16476~16193	-0.3
19123~18788	-0.3
18033~12702	-0.3
20851~12702	-0.4
20779~20848	-0.4
12051~16193	-0.4
15251~21687	-0.5
22340~21687	-0.5
22339~21687	-0.5
20850~18715	-0.5
20851~18715	-0.6
