EDGE	CONSISTENCY
14256~21687	0.5
15234~21687	0.5
21687~12929	0.5
328572~21687	0.5
26399~26420	0.2
19353~26399	0.2
26408~26399	0.2
76527~12978	0.2
18708~56717	0.2
22341~13649	0.1
26417~16653	0.1
26417~12443	0.1
19353~404710	0.1
18708~16653	0.1
11596~18710	0.1
16542~14083	0.1
56717~12421	0.1
22341~12978	-0.1
19353~18708	-0.1
18708~14083	-0.1
11596~18708	-0.1
18710~16653	-0.1
18710~56717	-0.1
16653~26420	-0.1
16542~18708	-0.1
18750~56717	-0.1
15512~26420	-0.1
109689~110157	-0.1
218397~16653	-0.1
64143~26420	-0.1
26398~26420	-0.1
17096~18708	-0.1
22341~16542	-0.2
22341~16337	-0.2
26417~22341	-0.2
19766~26399	-0.2
18441~14683	-0.2
19218~14683	-0.3
26420~16176	-0.4
26417~16176	-0.4
22340~21687	-0.5
22339~21687	-0.5
22341~21687	-0.6
