EDGE	CONSISTENCY
12530~12444	0.3
12444~19645	0.3
12530~12571	0.2
12571~19645	0.2
18817~12531	0.2
12442~18817	0.2
12442~12532	0.2
66156~56371	0.2
107995~56371	0.2
99152~56371	0.2
50883~12530	0.1
18817~12532	0.1
71890~56371	0.1
12531~12534	0.1
69957~12442	0.1
69957~30939	0.1
69010~56371	0.1
52206~56371	0.1
229776~56371	0.1
12235~56150	0.1
59008~56371	0.1
12530~12443	-0.1
56371~268697	-0.1
18817~12530	-0.1
56150~66156	-0.1
56150~107995	-0.1
56150~99152	-0.1
107995~30939	-0.1
99152~30939	-0.1
69957~56371	-0.1
12443~19645	-0.1
67141~107995	-0.1
69010~12442	-0.1
52206~12442	-0.1
12428~19645	-0.1
17120~56371	-0.1
59008~12442	-0.1
12530~12442	-0.2
56371~12442	-0.2
50883~12531	-0.2
50883~12532	-0.2
56150~56371	-0.2
66156~12442	-0.2
66156~30939	-0.2
107995~12442	-0.2
99152~12442	-0.2
