EDGE	CONSISTENCY
18591~14254	0.6
20779~14083	0.3
16542~20779	0.3
18591~18596	0.1
16542~14083	0.1
16542~16452	0.1
16542~19303	0.1
14083~14360	0.1
18596~16451	0.1
13649~16453	0.1
16161~16452	0.1
15170~20963	0.1
15170~16453	0.1
15170~16451	0.1
15170~12229	0.1
17096~14083	0.1
15162~14083	0.1
16162~16453	0.1
16162~16451	0.1
19699~14083	0.1
13835~11350	0.1
20963~12229	0.1
18591~16542	-0.1
18591~16590	-0.1
18591~16337	-0.1
18591~12978	-0.1
19229~14083	-0.1
19229~19303	-0.1
16542~16451	-0.1
18596~14083	-0.1
16161~16453	-0.1
16161~16451	-0.1
15170~16542	-0.1
17096~19229	-0.1
17096~12229	-0.1
17096~14360	-0.1
15162~19229	-0.1
14191~19229	-0.1
16453~20850	-0.1
19229~20779	-0.3
20779~13649	-0.3
20779~20963	-0.3
18596~20779	-0.3
14254~14083	-0.5
13838~11350	-0.5
18591~21687	-0.6
