EDGE	CONSISTENCY
22341~14254	0.6
14174~14254	0.6
14254~18707	0.6
11601~14254	0.5
15251~14254	0.5
11863~14254	0.5
22340~14254	0.5
22339~14254	0.5
20779~14083	0.3
20779~14784	0.3
20779~110596	0.3
20779~12540	0.3
16542~20779	0.3
18132~84653	0.3
14674~20779	0.3
26362~20779	0.3
16410~20779	0.3
21833~18132	0.3
11600~16542	0.2
11600~16590	0.2
18132~55927	0.2
18132~15205	0.2
12571~19651	0.2
12571~19645	0.2
12571~19650	0.2
22341~16542	-0.2
14174~16542	-0.2
16450~18132	-0.2
12163~12166	-0.2
54601~23882	-0.2
18129~84653	-0.2
18131~84653	-0.2
20779~19229	-0.3
20779~18707	-0.3
20779~13649	-0.3
20779~110157	-0.3
20779~12387	-0.3
14254~14083	-0.5
11350~13800	-0.5
328572~14254	-0.5
14254~14784	-0.6
11600~14254	-0.7
