EDGE	CONSISTENCY
17874~16176	0.5
17874~16193	0.5
17874~16159	0.4
18106~16797	0.4
50930~17000	0.3
17874~22034	0.2
20297~23832	0.2
20297~12767	0.2
20297~12775	0.2
20297~13051	0.2
20297~12765	0.2
20297~12774	0.2
20297~12772	0.2
20297~12768	0.2
81897~17874	0.2
20311~23832	0.2
20311~12767	0.2
20311~12775	0.2
20311~13051	0.2
20312~23832	0.2
20312~12767	0.2
21926~17130	0.2
330122~23832	0.2
330122~12767	0.2
12487~12519	0.2
14825~23832	0.2
20310~23832	0.2
20311~12765	0.1
20312~12775	0.1
20312~13051	0.1
20312~12765	0.1
330122~12775	0.1
330122~13051	0.1
330122~12765	0.1
14825~12767	0.1
14825~12775	0.1
14825~13051	0.1
20310~12767	0.1
56744~23832	0.1
15945~23832	0.1
57349~23832	0.1
20303~23832	-0.1
17874~21926	-0.2
170743~17874	-0.2
17130~17127	-0.2
15900~16159	-0.2
17874~330122	-0.3
17874~14825	-0.3
17874~20310	-0.3
